,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
868,CHEMBL1201179,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,active,581.0690000000002,6.139100000000005,2.0,8.0,8.301029995663981
869,CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,active,485.94700000000023,4.389900000000002,2.0,7.0,8.698970004336019
870,CHEMBL505626,CCN(CC)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,594.1120000000001,6.366800000000005,2.0,8.0,7.301029995663981
871,CHEMBL451513,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCCC1,active,592.0959999999999,6.120800000000005,2.0,8.0,7.494850021680094
872,CHEMBL495979,Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@@H]5CCCN5)sc34)cc2Cl)c1,active,478.98000000000025,5.909900000000003,2.0,6.0,7.267606240177032
873,CHEMBL496174,Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@H]5CCCN5)sc34)cc2Cl)c1,active,478.98000000000025,5.909900000000003,2.0,6.0,7.886056647693163
874,CHEMBL523573,COCCN1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,active,537.0600000000002,6.268700000000005,1.0,7.0,6.958607314841775
875,CHEMBL495733,CS(=O)(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,active,557.0720000000002,5.5819000000000045,1.0,7.0,7.055517327849832
876,CHEMBL495734,CC(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,active,521.0170000000002,6.1688000000000045,1.0,6.0,7.42021640338319
877,CHEMBL497803,COC(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,active,537.0160000000002,6.3887000000000045,1.0,7.0,6.920818753952375
878,CHEMBL497804,O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,494.9790000000002,4.880700000000003,3.0,7.0,7.958607314841775
879,CHEMBL497184,CCO[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,523.0330000000002,5.924900000000004,2.0,7.0,7.008773924307505
880,CHEMBL500115,CS(=O)(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,573.0710000000001,4.864600000000004,2.0,9.0,7.3979400086720375
881,CHEMBL500381,CCC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,551.0430000000001,5.841600000000004,2.0,8.0,7.045757490560675
882,CHEMBL500640,CCOC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,567.0420000000001,6.061500000000004,2.0,9.0,6.8696662315049934
883,CHEMBL525805,CCOC(=O)N[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.634500000000004,3.0,8.0,7.107905397309519
884,CHEMBL501705,CCS(=O)(=O)N[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,586.1140000000001,4.827700000000004,3.0,8.0,7.060480747381382
885,CHEMBL485745,Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1,inactive,289.31300000000005,4.202400000000003,0.0,3.0,5.0
886,CHEMBL508760,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cscn5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,597.122,4.674600000000004,2.0,11.0,7.221848749616356
890,CHEMBL505463,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Oc5ccnc6ccc(F)cc56)c(Cl)c4)c3s2)C1)N1CCOCC1,active,645.1159999999998,6.118700000000005,2.0,10.0,6.7447274948966935
891,CHEMBL455433,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(NCc4cccc(Oc5ccccc5)c4)c3s2)C1)N1CCOCC1,active,555.6600000000001,4.646500000000004,2.0,9.0,7.060480747381382
892,CHEMBL455434,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Cc5ccccc5)cc4)c3s2)C1)N1CCOCC1,active,539.6610000000002,4.576500000000004,2.0,8.0,7.221848749616356
895,CHEMBL507821,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c3s2)C1)N1CCOCC1,active,579.686,4.383700000000004,2.0,10.0,7.301029995663981
896,CHEMBL510845,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c3s2)C1)N1CCOCC1,active,597.6759999999999,4.522800000000004,2.0,10.0,7.522878745280337
897,CHEMBL500072,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc5cc(F)ccc5F)c4)c3s2)C1)N1CCOCC1,active,615.6659999999998,4.661900000000004,2.0,10.0,7.455931955649724
898,CHEMBL503253,CC(c1cccc(F)c1)n1ncc2cc(Nc3ncnc4cc(C#C[C@@H]5C[C@@H](OC(=O)N6CCOCC6)CN5)sc34)ccc21,active,611.7030000000003,5.083800000000004,2.0,10.0,6.886056647693163
899,CHEMBL451074,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5S(=O)(=O)c5cccc(F)c5)c4)c3s2)C1)N1CCOCC1,active,647.7139999999998,3.7115000000000027,2.0,12.0,7.070581074285707
900,CHEMBL500217,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(ccn5Cc5ccccc5)c4)c3s2)C1)N1CCOCC1,active,578.698,4.988700000000004,2.0,9.0,7.221848749616356
902,CHEMBL451347,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(ccn5Cc5cscn5)c4)c3s2)C1)N1CCOCC1,active,585.7149999999999,4.445200000000003,2.0,11.0,6.7447274948966935
904,CHEMBL504117,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,591.093,4.613100000000004,2.0,10.0,7.522878745280337
905,CHEMBL452768,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(ccn5S(=O)(=O)c5ccsc5)c4)c3s2)C1)N1CCOCC1,active,634.7649999999998,4.238900000000004,2.0,12.0,6.920818753952375
906,CHEMBL453398,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Oc5ccccn5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,577.0659999999999,4.826400000000004,2.0,10.0,7.221848749616356
907,CHEMBL474347,Fc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2ccsc12,inactive,378.4570000000001,5.850700000000002,1.0,6.0,5.0
908,CHEMBL474346,Clc1cc(Nc2ncnc3ccsc23)ccc1-c1nc2ccccc2s1,inactive,394.91200000000015,6.365000000000002,1.0,6.0,5.0
909,CHEMBL514929,COc1cc(Nc2ncnc3ccsc23)ccc1-c1nc2ccccc2s1,inactive,390.4930000000001,5.720200000000003,1.0,7.0,5.0
910,CHEMBL472946,c1ccc2sc(-c3ccc(Nc4ncnc5ccsc45)cc3)nc2c1,inactive,360.4670000000001,5.7116000000000025,1.0,6.0,5.0
911,CHEMBL475352,COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,inactive,374.4290000000001,4.381800000000002,2.0,7.0,5.0
912,CHEMBL475351,COc1nc(Nc2ccc(-c3nc4ccccc4s3)c(OC)c2)c2cc[nH]c2n1,inactive,403.4670000000001,4.995400000000003,2.0,7.0,5.0
913,CHEMBL462338,COc1nc(Nc2ccc(-c3nc4ccccc4s3)cc2)c2cc[nH]c2n1,inactive,373.44100000000003,4.986800000000002,2.0,6.0,5.0
914,CHEMBL461110,COc1cc(Nc2nccc(Nc3cc(C)[nH]n3)n2)ccc1-c1nc2ccccc2s1,inactive,429.5090000000002,5.2806200000000025,3.0,8.0,5.0
915,CHEMBL459886,CN1CCN(c2ccnc(Nc3ccc(-c4nc5ccccc5s4)cc3)n2)CC1,inactive,402.52700000000016,4.248700000000003,1.0,7.0,5.0
916,CHEMBL462160,CNc1ccnc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,inactive,333.4200000000001,4.538600000000002,2.0,6.0,5.0
917,CHEMBL512933,CNc1nccc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,inactive,333.42,4.538600000000002,2.0,6.0,5.0
918,CHEMBL461991,Cc1cc(Nc2cc(Nc3ccc(-c4nc5ccccc5s4)cc3)ccn2)n[nH]1,inactive,398.49500000000006,5.8770200000000035,3.0,6.0,5.0
919,CHEMBL464014,CNc1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,inactive,332.432,5.143600000000003,2.0,5.0,5.0
